,Entity_Name,Entity_ID,Industry_Classification,Exchange,Current_Ratio_(x),Total/Debt/Equity(%),Inventor_Turnover_(x),Return_on_Equity_(%),EBIT_Margin_(%),Book_Value_per_Share_(?),Total_Debt/EBITDA_(x),Return_on_Capital_(%),Gross_Profit_Margin_(%),"EBITDA,1Yr.Growth_(%)",Total_Revenues_1YearGrowth_(%),Price/EPS(x),MarketCap
35,Panama Petrochem Limited (BSE:524820),4986830,Commodity Chemicals,BSE,4.102,0.13,4.895,19.059,11.011,168.047,0.005,16.043,15.898,-30.113,-6.424,12.025182,23792.13209
8,Vinati Organics Limited (BSE:524200),4985875,Specialty Chemicals,BSE,5.069,0.009,5.739,14.859,21.663,225.079,0,10.711,39.475,-25.489,-20.865,60.374144,196607.0544
53,Indo Amines Limited (BSE:524648),4985744,Specialty Chemicals,BSE,1.25,103.313,5.072,20.2,6.649,36.156,3.131,8.766,27.409,36.761,4.934,27.663013,9894.123522
92,Roopa Industries Limited (BSE:530991),4986164,Specialty Chemicals,BSE,1.153,149.131,1.543,16.86,10.39,18.777,3.242,10.751,31.697,7.638,-28.849,34.147533,453.7618488
66,Nikhil Adhesives Limited (BSE:526159),4986650,Commodity Chemicals,BSE,1.367,59.644,6.223,13.22,4.208,23.311,2.149,10.192,16.454,-7.764,-26.888,40.059394,5742.875
47,Ultramarine & Pigments Limited (BSE:506685),4985592,Specialty Chemicals,BSE,2.603,9.653,3.625,8.751,12.79,288.261,0.847,5.397,39.661,-5.574,-3.541,28.042596,13579.46
40,I G Petrochemicals Limited (BSE:500199),4986291,Commodity Chemicals,BSE,1.612,29.92,8.214,3.244,2.64,405.466,3.635,2.128,17.866,-69.942,-11.837,46.223278,18590.85095
70,Poddar Pigments Limited (BSE:524570),4986149,Specialty Chemicals,BSE,4.752,0.317,3.789,7.776,7.47,311.491,0.032,5.322,30.773,-7.183,-0.523,14.400574,4726.755
97,Continental Petroleums Limited (BSE:523232),4986664,Commodity Chemicals,BSE,1.671,52.493,5.675,4.81,9.071,39.614,2.095,8.919,19.371,21.837,-39.371,15.084109,426.2218296
100,Sreechem Resins Limited (BSE:514248),7126959,Commodity Chemicals,BSE,1.951,22.446,5.985,-2.408,-0.468,27.382,6.792,-0.671,26.048,-83.875,-62.933,9.046705,350.8
